,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
548,Челябинск,Реком,,8 октября 2020," Требуемый опыт работы: 1–3 года Полная занятость, гибкий график Мы - крупная федеральная компания по ремонту и обслуживанию компьютерной техники. В связи с существенным расширением клиентской базы, нам нужны активные, целеустремлённые сотрудники, которые ищут для себя новые возможности, хотят зарабатывать и развиваться. Мы очень ценим старательных людей и всегда готовы научить чему-либо новому, главное желание! Нам требуются многопрофильные специалисты, предоставляющие услуги бытового сервиса для сотрудничества на постоянной основе и в формате подработки. Обязанности: - Выезд к постоянным и разовым клиентам компании на дом или в офис - Проведение диагностики, выявление неисправностей - Устранение сбоев в работе операционной системы, установка и настройка ПО, удаление вирусов - Ремонт ПК и ноутбуков на уровне замены неисправных комплектующих на новые - Настройка Wi-Fi роутеров, сетевого оборудования, оргтехники (уровень - оборудование, установленное дома у клиента) - Согласование стоимости работ с клиентом - Оформление документов, сдача отчетности Требования: - Знание устройства компьютера, принципов работы компьютера, типовых неисправностей и программного обеспечения; - Навык разборки/сборки ПК и ноутбуков; - Умение выявлять и устранять сбои в работе ОС Windows и ее программного обеспечения; - Грамотная речь, доброжелательность, коммуникабельность, умение находить общий язык с любым человеком, грамотно доносить информацию, продавать - Готовность учиться новому, развиваться, повышать свой профессиональный уровень - Опыт работы по оказанию платных услуг компьютерной помощи на дому у клиента (физ. лица) является преимуществом Условия: ✅ Оформление по договору; ✅ Стабильный поток качественных заявок от 3 до 5 в день (в отличие от конкурентов у нас это гарантировано и прописано в договоре) ✅ Высокий процент с заказа (до 50%) ✅ Заявок очень много, поэтому в среднем наши мастера зарабатывают около 75000 руб в месяц (зарплата зависит от среднего чека и количества выполненных заявок); ✅ Оплата с каждой заявки сразу после выполнения заказа ✅ Премии по итогам месяца ✅ Курс повышения Вашей квалификации. Нашими специалистами разработан обучающий курс, мы научим Вас как общаться с клиентами, согласовывать работы и работать с возражениями ✅ Грамотная координация заказов. Наши диспетчеры учитывают Ваше географическое расположение прежде чем дать новый заказ ✅ Мы не оставим Вас без поддержки. В компании существует менеджерский отдел, при необходимости наши менеджеры помогут Вам с согласованием объема и стоимости услуг. ✅ Карьерный рост при условии успешной и непрерывной работы от 6 месяцев Мы не Эксперт, ФСС, ПКП. Мы уважаем наших мастеров! Отличия от конкурентов: ✅ Открытие своего ИП не требуется ✅ Заказы даются только в черте города, Вам не придется добираться к клиентам, проезжая по 60-70 км за свой счет ✅ Процесс расчета % сразу после каждой заявки ✅ Система взаимоотношения с сотрудниками максимально проста и прозрачна ✅ Хорошая бонусная часть, есть премии за показатели С нами ты станешь востребованным профессионалом! Звонить с 10 до 18 ",,1–3 года,Выездной Компьютерный Мастер,,150000.0,50000.0,гибкий график,"Ремонт ПК,Настройка ПК,Сборка ПК,Настройка ПО,Грамотная речь,Клиентоориентированность,Навыки продаж",Полная занятость,https://tyumen.hh.ru/vacancy/39697082
614,Челябинск,IDScan.net,,23 сентября 2020," Полная занятость, полный день Описание: Международная компания IDScan приглашает на работу DevOps Engineer для участия в разработке собственных приложений компании и поддержке существующих продуктов. Компания занимается разработкой продуктов в области контроля доступа, валидации документов, машинного зрения и распознавании образов. Много интересных проектов. Мы существуем и активно развиваемся уже 15 лет. Более десяти лет представлены на рынке США и Канады. Наши клиенты IBM, Tesla Motors, Chevrolet, Caesars Las Vegas и многие другие. Обязанности: Поддержка продуктов компании (не аутсорсинг) Администрирование кластера серверов MSSQL. Мониторинг и развертывание продуктов компании в Kubernetes. Требования: Kubernetes, docker: k8s (AKS в Azure) MSSQL RabbitMQ Git, CI Cloud services Graphana Zabbix, Prometheus Windows servers Unix Желательные навыки: Работа с GIT и YouTrack. Опыт работы с NoSQL базами данных Грамотный английский на технические темы (письменно) Условия: Полный рабочий день в офисе Работа в дружной команде Работа над интересными проектами Вкусные обеды за счет компании, возможность выбора меню Кухня, кофе машина, чай Официальное трудоустройство по ТК Курсы английского языка за счет компании (преподаватель приходит в офис) Удобное рабочее место Офис на северо-западе Челябинска Поддержка профессионального роста и развития Конкретный уровень заработной платы обсуждается по итогам собеседования. Ждем ваших резюме и надеемся на сотрудничество. "," , , , , , , , , , , , , , , , , , ",1–3 года,DevOps Engineer," , , , , , , , , , , , , , , , , , ",150000.0,50000.0,полный день,"Английский язык,Unix,MS SQL,Kubernetes,Windows Server",Полная занятость,https://tyumen.hh.ru/vacancy/39309461
357,Челябинск,imkosmetik,,15 октября 2020," imkosmetik – интернет-магазин и розничная сеть профессиональной косметики. Нам доверяют больше 100 000 клиентов. Сейчас мы находимся в поисках продакт менеджера, который займется модернизацией существующего интернет-магазина и сделает его еще более эффективным для бизнеса и привлекательным для клиента. В нашей компании продакт - это одна из ключевых позиций в команде-профессионалов. Для реализации самых амбициозных гипотез есть крутая команда: web-разработчики, интернет-маркетолог, UX-дизайнер, веб-аналитик, контент-продюсер с командой дизайнеров, маркетологи-аналитики, smm-менеджеры, копирайтеры, контент-менеджеры, CRM маркетолог, а также, команда категорийных менеджеров и многие другие. Вас ждет участие в большом проекте с серьезным трафиком, командой профессионалов, возможностью глубоко погружаться в задачи. Вы будете расти максимально быстро. imkosmetik помогает каждому стать идеальным бьютимейкером. Для этого мы вместе с клиентом создаём ""мир imkosmetik"". Это экосистема сервисов, полезных каждый день: образование, общение, эмоции, вдохновение, развлечение, развитие и самовыражение. Мы амбициозны и не останавливаемся на достигнутом: стабильно растет ежегодный оборот imkosmetik, количество сотрудников постоянно увеличивается. Чем именно предстоит заниматься? Управлять стратегией развития сайта, создавать новый функционал и улучшать существующие части продукта. Работать над повышением конверсии и среднего чека. Проводить исследования рынка, конкурентов. Формулировать гипотезы роста совместно с командой. Искать точки роста в продукте с целью повышения конверсии и продаж. Любим и используем Growth hacking. Управлять бэклогом продукта. Работать с клиентами: обратная связь, интервью, исследования в фокус-группах. Много и тщательно анализировать эффективность тестируемых гипотез, работать с метриками. Проводить UX-тестирования и прототипирование, А/Б тесты, делать выводы на их основе. Взаимодействовать с разработчиками, дизайнерами, маркетингом и SMM. Что мы предлагаем? - возможность реализовать свои профессиональные амбиции и самые смелые идеи в направлении digital, e-commerce; - полный день, без возможности совмещения. Мы отлично перестроились под формат удаленной работы. Поэтому вы сами выбираете пространство для работы: комфортный офис, домашний диван или любимая кофейня; - работа в инновационной компании. Интересные проекты со сложными профессиональными задачами; - правильная среда для развития: и даже, если вы - опытный специалист, вам всегда будет чему поучиться у коллег, для которых ценность в познании нового; - классная команда с “плоской” (да-да, у нас нет начальников) системой управления - диалог вместо иерархии; - возможность влиять на бизнес-процессы и результат; - заработная плата обсуждается на собеседовании и зависит от ваших скиллов и мотивации; - отдельный 5-ти этажный офис в районе Теплотеха, корпоративная парковка; - официальное трудоустройство с первого дня; - компенсация во время отпуска или больничного в полном объеме. Бонусы - гибкий график. Большая часть команды обычно начинает день до 11 утра; - обучение за счёт компании, для нас важно стремление постоянно учиться, читать блоги и порталы, посещать профессиональные курсы и конференции; - доступ к электронной библиотеке, где собрано более 100 книг; - есть отдельная кухня со всей необходимой бытовой техникой, если у вас свое меню; - у нас классные корпоративы, подарки на дни рождения и даже гамак; Что мы ждём от вас? Мы готовы к тому, что у вас есть серьезный опыт только в одной из областей знаний, как веб-разработчик, digital маркетолог, аналитик», UX дизайнер. Вам тесно в одном направлении и вы стремитесь развиваться. Идеально - опыт продакт-менеджером, менеджером проектов в ecommerce или аналогичном рынке. Смелость. Откликайтесь, наверняка общение будет полезным и вам и нам. Результативный опыт развития интернет-продуктов на B2C рынке. Опыт работы с мобильным трафиком. Желание и готовность брать ответственность за продукт, любовь к сложным задачам. Умение работать с воронками продаж и growth воронкой. Понимание как разрабатывают веб проекты, интернет-маркетинга, принципов построения пользовательских интерфейсов и UX. Эмпатия, желание работать с клиентами и делать продукт для них. Навыки планирования и проведения A/B тестов и других экспериментов. Итеративный data-driven подход к делу (гипотеза—валидация—аналитика). Систематизация данных, умение лаконично и наглядно показать свои выводы. Умение обсуждать задачи с разработчиками так, чтобы у них по итогу было минимум вопросов. Умение правильно приоритизировать задачи для достижения максимального бизнес-эффекта в кратчайшие сроки. Системное и критическое мышление, высокие аналитические способности, умение делать выводы на основе данных. Внимание к деталям и высокий уровень самодисциплины и ответственности. Наш человек - отлично понимает цели нашего бизнеса и управляет цепочкой работ для достижения этих целей. Он самостоятелен, ориентирован на результаты и активно обучается. Готов постоянно взаимодействовать с командой, непрерывно улучшать пространство совместной работы. Формулирует свои идеи в виде измеримых гипотез и готов презентовать их перед командой, чтобы выбрать лучшие. Мы постарались написать нешаблонный текст вакансии, чтобы вам было удобнее при выборе места, куда отправить свой отклик, и мы будем рады, если вы напишете нешаблонное сопроводительное письмо. ",,1–3 года,Продакт менеджер (Product manager) e-commerce,,150000.0,80000.0,полный день,"Маркетинговые коммуникации,Управление лояльностью потребителей,Разработка технических заданий,Internet Marketing,Маркетинговый анализ,Аналитические исследования,Аналитическое мышление,Постановка задач разработчикам,Управление временем,Системный анализ,Ориентация на результат,Креативность,UX,UI,Веб-аналитика,Проектирование пользовательских интерфейсов,Управление интернет-проектами,WEB аналитика,Управление продуктом,Управление проектами,Работа в команде",Полная занятость,https://tyumen.hh.ru/vacancy/39844321
789,Челябинск,TAPCLAP,,17 сентября 2020," TAPCLAP - это один из ведущих разработчиков мобильных и социальных игр в России и странах СНГ, за всё время существования мы создали более 30 HTML5 игр. Сейчас у нас два офиса - головной на Кипре и центр разработки в Челябинске. На сегодняшний день в релизе и поддержке находится 5 проектов, при этом мы всегда открыты к новому и постоянно работаем над экспериментальными проектами. Наш флагман “Сокровища Пиратов” входит в ТОП-3 любимых россиянами видеоигр наряду с World of Tanks и Пасьянсом (*по данным ВЦИОМ). Eсли ты любишь игры также, как мы, и хочешь участвовать в поддержании и развитии нашего флагмана ""Сокровища Пиратов"" (13 языков локализации, более 10 платформ и уже 6 лет существования игры) - присоединяйся! Что по технологиям : - Cocos 2d - Node.js - PHP (на базовом уровне) - JavaScript - Backbone.js Чем именно предстоит заниматься? исследовать, оценивать и решать задачи; поддерживать текущий frontend и развивать их в дальнейшем; портирование игры на движок Cocos2D. Какие ещё есть возможности? Развиваться профессионально в геймдеве, используя современные инструменты для разработки кроссплатформенных HTML5 игр. Что мы предлагаем? - полностью белая зарплата, кофе и фрукты для сотрудников, корпоративный английский язык, посещение ивентов и конференций; - просторный и уютный офис находится в ""Челябинск Сити"" в самом центре города; - гибкий график, совам можно работать и с 11:00; - ДМС для сотрудников и их детей (со стоматологией); - у нас классные корпоративы, по пятницам играем в настольные игры, а на день рождение все вместе едим пиццу и поздравляем именинников. Дополнительные преимущества: - отсутствие бюрократии, отчетов - мы ориентируемся на эффективность; - нет строгой иерархии, если знаете, как сделать лучше — предлагайте и аргументируйте; - молодая скиловая команда талантливых и увлечённых своим делом коллег; - работа на проекте в стадии активного развития, т.е. мы постоянно разрабатываем и внедряем новые фичи для него; - работа с нашей флагманской игрой - 13 языков локализации, более 10 платформ и 6-летняя история развития игры. Что мы ждём от вас? - желание развиваться именно в сфере геймдева - уверенное владение JavaScript (ES5/ES6) - опыт работы с Node.js, MySQL - владение HTML5/CSS на базовом уровне - минимальные знания gulp/webpack - применение хороших практик разработки ООП/SOLID - будет плюсом опыт работы с PixiJS, Phaser, Canvas. Мы ожидаем, что вы уже знаете что делать, чтобы идти к результату. Софт-скиллы перечислены не для того ""чтобы были"", они действительно имеют значение: умение и желание брать на себя ответственность; коммуникабельность (общение с коллегами); желание самосовершенствоваться, учиться чему-то новому и делиться опытом с коллегами; художественный вкус. Мы ищем в команду талантливых и амбициозных специалистов, разделяющих нашу любовь к созданию высококлассных игр. Откликайся, задавай вопросы, пиши и звони - дальше дело за нами. До связи! :) ",,1–3 года,Разработчик HTML5 игр (middle/senior),,150000.0,80000.0,полный день,"JavaScript,Node.js,MySQL",Полная занятость,https://tyumen.hh.ru/vacancy/38272026
161,Челябинск,Агентство КИТ Консалт,,22 сентября 2020," Обязанности: Разработка backend и frontend для Desktop-приложения Участие в разработке архитектуры и UX/UI разрабатываемого приложения Участие в документировании, ревью кода, рефакторинге Требования: Опыт разработки Desktop-приложений на C/С++ не менее 3 лет Опыт разработки приложений с использованием Qt Опыт работы с системой контроля версий Git Умение работать в команде Будет преимуществом: Знание языка Qt QML Опыт программирования графического интерфейса пользователя Опыт работы в команде по методологии Agile Опыт работы с Atlassian Jira, Confluence и Bitbucket Знание алгоритмов цифровой обработки сигналов Знание технического английского Условия: Сложные и интересные задачи Официальное трудоустройство по ТК РФ Помощь в переезде в Челябинск Своевременную выплату заработной платы Офис в центре города с собственной парковкой Собственную столовую с питанием по льготным ценам Обучение английскому языку на территории предприятия Участие в корпоративных мероприятиях и праздниках ",,3–6 лет,Инженер-программист(backend и frontend для Desktop),,150000.0,90000.0,полный день,"Qt,Atlassian Jira,Git,Разработка ПО,C++",Полная занятость,https://tyumen.hh.ru/vacancy/38297945
250,Челябинск,Фабрика кадров,,24 сентября 2020," Наше научно-производственное объединение организовано в мае 2003 года группой разработчиков радиотехнического оборудования для аэропортов и управления воздушным движением. Компания оказывает услуги по строительству объектов радиотехнического обеспечения полетов ""под ключ"". Основу продуктовой линейки составляют системы посадки и навигационное оборудование системы 734, а также измерительное оборудование. Компания успешно выполняет заказы государственных и коммерческих структур России, стран ближнего и дальнего зарубежья. Предприятие завершило 2019 год с высокими производственными показателями и имеет сформированный портфель заказов на 2020 год. В связи с появлением новых интересных идей, компания ищет лидера, ориентированного на результат с соблюдением сроков, бюджета, ресурсов, для которого главное не организация труда, а достигнутый результат. Способного отстаивать свою позицию и договариваться о взаимовыгодных условиях. Обязанности: Управление полным циклом реализации проекта: Предпроектный анализ; сбор, анализ, структурирование требований заказчика; определение целей, задач и результатов проекта; подготовка проекта к реализации, определение «контрольных» точек и ключевых параметров; определение состава работ, необходимых для проработки и внедрения проекта; оценка продолжительности работ, составление критического пути; оценка и мониторинг рисков, формирование планов реагирования на риски; определение требуемых ресурсов и оценка их стоимости, создание смет и бюджета проекта; определение ключевых компетенций, необходимых участникам команды проекта, описание требований к проектным ролям; формирование команды проекта, распределение и расстановка по ролям; мониторинг отклонения от плана, контроль изменения бюджета проекта, корректировка плана; решение всех организационных и административных вопросов, урегулирование ресурсных конфликтов; отчетность об исполнении проекта. Требования: Наличие успешно реализованных технологических проектов в портфолио. Владение профильным ПО Опыт построения ключевых бизнес-процессов проекта: организационных, аналитических, финансовых, документальных. Опыт в подготовке аналитических и презентационных материалов по проектам. Опыт построения и реализации системы мониторинга исполнения проекта. Опыт управления бюджетом инвестиций в проекты. Опыт совершенствования методики проектного управления, методик кризис-менеджмента. Опыт разработки и внедрения системы kpi. Опыт расчета затрат, сроков окупаемости, определения точки безубыточности, минимизация затрат. Знание стандартов проектного управления. Владение современными системами управления проектами, задачами. Условия: Официальное трудоустройство, график работы и условия труда в соответствии с ТК РФ Уровень заработной платы – до 150 000 рублей, по итогам собеседования; Стабильная выплата заработной платы; Возможность профессионального и карьерного роста; Оплачиваемые корпоративы и поездки на базы отдыха Просторный офис в советском районе, современное оборудование, полноценная кухня в офисе (вода, чай, кофе в полном доступе). ","Предпроектный анализ;,сбор, анализ, структурирование требований заказчика;,определение целей, задач и результатов проекта;,подготовка проекта к реализации, определение «контрольных» точек и ключевых параметров;,определение состава работ, необходимых для проработки и внедрения проекта;,оценка продолжительности работ, составление критического пути;,оценка и мониторинг рисков, формирование планов реагирования на риски;,определение требуемых ресурсов и оценка их стоимости, создание смет и бюджета проекта;,определение ключевых компетенций, необходимых участникам команды проекта, описание требований к проектным ролям;,формирование команды проекта, распределение и расстановка по ролям;,мониторинг отклонения от плана, контроль изменения бюджета проекта, корректировка плана;,решение всех организационных и административных вопросов, урегулирование ресурсных конфликтов;,отчетность об исполнении проекта.",3–6 лет,Project manager / Директор проектов,,150000.0,100000.0,полный день,"Английский — B1 — Средний,Управление рисками,Бизнес-анализ,MS Project,Риск-менеджмент,методологии проектного управления,PMBOK,P2M,PRINCE2,Scrum,Управление бюджетом",Полная занятость,https://tyumen.hh.ru/vacancy/39434420
511,Челябинск,Компания maxim,,9 октября 2020," ""Максим"" ищет разработчиков в Екатеринбурге, Челябинске, Тюмени и Кургане. Кто мы: IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что нужно делать: Разрабатывать и сопровождать системы отчётности и бизнес-процессов. Мы хотим найти человека, который: хорошо владеет языком программирования Java (JDK 1.8 и выше); знает реляционные СУБД (PostgreSQL или SQL Server), SQL и MongoDB. Будет плюсом: знание системы отчётности Eclipse BIRT и платформы Eclipse в целом; знание движков бизнес-процессов Alfresco Activiti и Flowable; знание Java EE (JMS, JAX-RS, JAX-WS) и Spring (Framework, Boot, Data, Security); знание и опыт работы с Linux, Git. Что мы предлагаем: множество интересных задач, в решении которых вы можете принять полноправное участие; дружелюбный коллектив; корпоративное обучение; поездки на it-конференции; комфортное рабочее место; компенсацию питания; ДМС; бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете); оформление по ТК РФ; есть программа релокации. ",,1–3 года,Java-разработчик,,150000.0,100000.0,полный день,"Java,Linux,MS SQL Server,SQL,Eclipse",Полная занятость,https://tyumen.hh.ru/vacancy/34543720
525,Челябинск,imkosmetik,,9 октября 2020," imkosmetik – интернет-магазин и розничная сеть профессиональной косметики. Нам доверяют больше 100 000 клиентов. Мы амбициозны и не останавливаемся на достигнутом: стабильно растет ежегодный оборот imkosmetik, количество сотрудников постоянно увеличивается. В связи с расширением команды разработки интернет-гипермаркета, мы ищем в команду PHP-разработчика, способного разрабатывать и поддерживать код со сложной архитектурой. На данный момент завершается перенос интернет-магазина на новую платформу (на основе Yii2), а также готов солидный бэклог с планами дальнейшего развития платформы интернет-магазина. В решении задач мы применяем современные технологии, используем новые фишки и постоянно совершенствуем процесс разработки продукта. У нас есть: Цель – с каждым днем делать лучше и лучше наш интернет-магазин и для наших клиентов, и для компании. Ресурсы – разносторонняя команда молодых и опытных специалистов (средний возраст сотрудников компании примерно 29 лет). Серьезные планы – работа над новой платформой и всеми планируемыми фишками требует глубокого погружения. Реально интересные задачи. Серьезный бюджет – готовы предложить достойную зарплату. Мы не экономим на разработчиках. Классная продуктовая команда с “плоской” (да-да, у нас нет начальников) системой управления – диалог вместо иерархии. Мы ждём тебя в нашей команде, если ты: Имеешь опыт работы со сложной архитектурой, и отлично знаешь PHP, а также знаком с одним из популярных framework'ов (в приоритете Yii2); Используешь MySQL (или PostgreSQL), работал с Redis, MongoDB, Sphinx (или Elasticsearch, Solr и т.п.) Готов к использованию современных client-side технологий (HTML5, CSS3, Javascript/jQuery, AJAX, VueJS и т.д.). Используешь в работе Linux, Git, Redmine (Jira, uTrack). Мы готовы предложить: Достойный уровень дохода - заработная плата обсуждается на собеседовании и зависит от твоих скилов и мотивации. Выбор места работы на любой вкус - мы отлично перестроились под формат удаленной работы, поэтому ты сам можешь выбирать пространство для работы: комфортный офис, домашний диван или любимая кофейня. Гибкий график. Большая часть команды обычно начинает день до 11 утра (по Челябинскому времени). Сотрудничество на равных условиях (нам важно то, как ты видишь проблему и что можешь предложить для её решения). Возможность видоизменять и влиять на процесс разработки, приносить свои идеи. Обучение за счёт компании - для нас важно стремление постоянно учиться, читать блоги и порталы, посещать профессиональные курсы и конференции; Отдельный 5-ти этажный офис в районе Теплотеха, корпоративная парковка, есть отдельная кухня со всей необходимой бытовой техникой. Все* прочие условия (чай/кофе/подарки на дни рождения/гамак). * Мы можем договариваться о желаемых для вас условиях работы; Если у Вас есть обратная связь или вопросы по вакансии – ниже вы увидите контакты нашего HR-менеджера. Мы всегда открыты для общения. ",,3–6 лет,Senior PHP developer / Ведущий разработчик (PHP),,150000.0,100000.0,удаленная работа,"PHP,HTML5,MySQL,Yii,Redis,Sphinx,jQuery",Полная занятость,https://tyumen.hh.ru/vacancy/38729693
786,Челябинск,Работа-это проСТО,,15 октября 2020," Вам предстоит: Сопровождать и добавлять новый функционал в корпоративные продукты (C#, MS SQL) Разрабатывать и улучшать интеграцию многокомпанентных систем (ERP, CRM, ЭДО) Планировать и оценивать возможные решения, работы над релизами Оптимизировать используемую командой инфраструктуру Участвовать в код ревью команды Вам необходимо: Иметь опыт коммерческой разработки продуктов на C# от 2 лет Владеть навыками разработки десктоп приложений (WinForms/WPF) Иметь опыт работы с MS SQL Обладать навыками веб-разработки (ASP/HTML5/CSS/JS) Уметь пользоваться git/tfs в ежедневной разработке Работать с legacy кодом и заниматься рефакторингом Приветствуется если у вас есть: Примеры разработанных программ либо отдельных модулей Готовность пройти тестовое задание Опыт работы с ASP.NET (Core / MVC / WebForms) Опыт разработки веб-API Мы предлагаем: ЗП 150 000р. на руки Гибкий график работы Возможность частичной удаленной работы Оплату ДМС после исп. срока ",,1–3 года,Программист C# / Разработчик C# (возможность удаленной работы),,150000.0,120000.0,гибкий график,"C#,.NET Framework,MS SQL Server,Windows Forms,Visual Studio C#,Entity Framework,Developer Express",Полная занятость,https://tyumen.hh.ru/vacancy/39843602
574,Челябинск,Fijowave Ltd,"Полная занятость,Работа с удаленной командой в главном офисе в г. Дублин,Оплата рабочего места в коворкинге (при невозможности работать из дома),Используем Gitlab для тикетов, кода, и CI.,Коммуникация посредством G-Suite (Chat, Meet, Mail, Calendar),Общение с командой на англ. языке (видеовстречи, почта, тикеты)!,Вы можете использовать Linux как свой десктоп :-D",14 октября 2020," Fijowave Ltd - компания, базирующаяся в г. Дублин, Ирландия и специализирующаяся на разработке решений в области умного управления интернетом вещей (IoT) и безопасного удаленного доступа. Мы ищем Senior Developer в Челябинске для работы над кодом наших IoT устройств (удаленка). Обязанности: Работа с удаленной командой в дублинском офисе Работа с кодовой базой IoT устройств Работа с младшими разработчиками, тренинг и менторинг Требования: C CGI Linux bash Python Git Желаемые навыки: Опыт с embedded Linux (Yocto, Buildroot) systemd network-manager modem-manager Gitlab, Gitlab runner (CI/CD) Опыт работы с кодом модулей Linux Опыт удалённой работы Условия: Полная занятость Работа с удаленной командой в главном офисе в г. Дублин Оплата рабочего места в коворкинге (при невозможности работать из дома) Используем Gitlab для тикетов, кода, и CI. Коммуникация посредством G-Suite (Chat, Meet, Mail, Calendar) Общение с командой на англ. языке (видеовстречи, почта, тикеты)! Оплата привязана к курсу евро (индексируется соответствующим образом) Вы можете использовать Linux как свой десктоп :-D Свяжитесь с нами, если у вас есть какие-либо вопросы! ","Работа с удаленной командой в дублинском офисе,Работа с кодовой базой IoT устройств,Работа с младшими разработчиками, тренинг и менторинг",3–6 лет,"Senior Developer (C, Python)",,170000.0,145000.0,полный день,"Английский — B1 — Средний,Git,Linux,Python,Bash,C",Полная занятость,https://tyumen.hh.ru/vacancy/39705239
